LOCATOR_FILE,ENTRY_TYPE,CATEGORY,ENTRY_NAME,JSON_PATH,SELECTOR_OR_VALUE,LOCATION
Resource/Modules/aboutus/__Locators.json,page_alias,page,About Us,page[0],About Us,Resource/Modules/aboutus/__Locators.json::page[0]
Resource/Modules/aboutus/__Locators.json,page_alias,page,About,page[1],About,Resource/Modules/aboutus/__Locators.json::page[1]
Resource/Modules/aboutus/__Locators.json,page_alias,page,About Page,page[2],About Page,Resource/Modules/aboutus/__Locators.json::page[2]
Resource/Modules/aboutus/__Locators.json,root,root,root,root,"[data-test=""page-about""]",Resource/Modules/aboutus/__Locators.json::root
Resource/Modules/aboutus/__Locators.json,locator,button,Home,button.Home,"[data-test=""main-nav-home""]",Resource/Modules/aboutus/__Locators.json::button.Home
Resource/Modules/aboutus/__Locators.json,locator,button,Challenge,button.Challenge,"[data-test=""main-nav-challenge""]",Resource/Modules/aboutus/__Locators.json::button.Challenge
Resource/Modules/aboutus/__Locators.json,locator,button,Ranking,button.Ranking,"[data-test=""main-nav-ranking""]",Resource/Modules/aboutus/__Locators.json::button.Ranking
Resource/Modules/aboutus/__Locators.json,locator,button,Pronunciation,button.Pronunciation,"[data-test=""main-nav-pronunciation""]",Resource/Modules/aboutus/__Locators.json::button.Pronunciation
Resource/Modules/aboutus/__Locators.json,locator,button,Speak,button.Speak,"[data-test=""main-nav-speak""]",Resource/Modules/aboutus/__Locators.json::button.Speak
Resource/Modules/aboutus/__Locators.json,locator,button,Review,button.Review,"[data-test=""main-nav-review""]",Resource/Modules/aboutus/__Locators.json::button.Review
Resource/Modules/aboutus/__Locators.json,locator,button,Inbox,button.Inbox,"[data-test=""main-nav-inbox""]",Resource/Modules/aboutus/__Locators.json::button.Inbox
Resource/Modules/aboutus/__Locators.json,locator,button,Logout Confirm,button.Logout Confirm,"[data-test=""main-logout-confirm""]",Resource/Modules/aboutus/__Locators.json::button.Logout Confirm
Resource/Modules/aboutus/__Locators.json,locator,button,Achievements,button.Achievements,"[data-test=""main-nav-achievements""]",Resource/Modules/aboutus/__Locators.json::button.Achievements
Resource/Modules/aboutus/__Locators.json,locator,button,New Quote,button.New Quote,"[data-test=""topbar-quote-refresh""]",Resource/Modules/aboutus/__Locators.json::button.New Quote
Resource/Modules/aboutus/__Locators.json,locator,button,Menu Toggle,button.Menu Toggle,"[data-test=""main-menu-toggle""]",Resource/Modules/aboutus/__Locators.json::button.Menu Toggle
Resource/Modules/aboutus/__Locators.json,locator,button,Profile,button.Profile,"[data-test=""main-menu-profile""]",Resource/Modules/aboutus/__Locators.json::button.Profile
Resource/Modules/aboutus/__Locators.json,locator,button,About,button.About,"[data-test=""main-menu-about""]",Resource/Modules/aboutus/__Locators.json::button.About
Resource/Modules/aboutus/__Locators.json,locator,button,Logout,button.Logout,"[data-test=""main-menu-logout""]",Resource/Modules/aboutus/__Locators.json::button.Logout
Resource/Modules/aboutus/__Locators.json,locator,button,Refresh Quote,button.Refresh Quote,"[data-test=""topbar-quote-refresh""]",Resource/Modules/aboutus/__Locators.json::button.Refresh Quote
Resource/Modules/aboutus/__Locators.json,locator,button,Learn,button.Learn,"[data-test=""rightbar-lesson-start""]",Resource/Modules/aboutus/__Locators.json::button.Learn
Resource/Modules/aboutus/__Locators.json,locator,button,Start Challenge,button.Start Challenge,"[data-test=""rightbar-challenge-start""]",Resource/Modules/aboutus/__Locators.json::button.Start Challenge
Resource/Modules/aboutus/__Locators.json,locator,link,Quote Text,link.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/aboutus/__Locators.json::link.Quote Text
Resource/Modules/aboutus/__Locators.json,locator,tab,Home,tab.Home,"[data-test=""main-nav-home""]",Resource/Modules/aboutus/__Locators.json::tab.Home
Resource/Modules/aboutus/__Locators.json,locator,tab,Challenge,tab.Challenge,"[data-test=""main-nav-challenge""]",Resource/Modules/aboutus/__Locators.json::tab.Challenge
Resource/Modules/aboutus/__Locators.json,locator,tab,Ranking,tab.Ranking,"[data-test=""main-nav-ranking""]",Resource/Modules/aboutus/__Locators.json::tab.Ranking
Resource/Modules/aboutus/__Locators.json,locator,tab,Pronunciation,tab.Pronunciation,"[data-test=""main-nav-pronunciation""]",Resource/Modules/aboutus/__Locators.json::tab.Pronunciation
Resource/Modules/aboutus/__Locators.json,locator,tab,Speak,tab.Speak,"[data-test=""main-nav-speak""]",Resource/Modules/aboutus/__Locators.json::tab.Speak
Resource/Modules/aboutus/__Locators.json,locator,tab,Review,tab.Review,"[data-test=""main-nav-review""]",Resource/Modules/aboutus/__Locators.json::tab.Review
Resource/Modules/aboutus/__Locators.json,locator,tab,Inbox,tab.Inbox,"[data-test=""main-nav-inbox""]",Resource/Modules/aboutus/__Locators.json::tab.Inbox
Resource/Modules/aboutus/__Locators.json,locator,tab,Achievements,tab.Achievements,"[data-test=""main-nav-achievements""]",Resource/Modules/aboutus/__Locators.json::tab.Achievements
Resource/Modules/aboutus/__Locators.json,locator,messagebox,Quote Text,messagebox.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/aboutus/__Locators.json::messagebox.Quote Text
Resource/Modules/aboutus/__Locators.json,locator,messagebox,Logout Message,messagebox.Logout Message,"[data-test=""main-logout-modal-message""]",Resource/Modules/aboutus/__Locators.json::messagebox.Logout Message
Resource/Modules/aboutus/__Locators.json,locator,list,Quote Text,list.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/aboutus/__Locators.json::list.Quote Text
Resource/Modules/achievements/__Locators.json,page_alias,page,Achievements,page[0],Achievements,Resource/Modules/achievements/__Locators.json::page[0]
Resource/Modules/achievements/__Locators.json,page_alias,page,Badges,page[1],Badges,Resource/Modules/achievements/__Locators.json::page[1]
Resource/Modules/achievements/__Locators.json,root,root,root,root,"[data-test=""page-achievements""]",Resource/Modules/achievements/__Locators.json::root
Resource/Modules/achievements/__Locators.json,locator,button,Home,button.Home,"[data-test=""main-nav-home""]",Resource/Modules/achievements/__Locators.json::button.Home
Resource/Modules/achievements/__Locators.json,locator,button,Challenge,button.Challenge,"[data-test=""main-nav-challenge""]",Resource/Modules/achievements/__Locators.json::button.Challenge
Resource/Modules/achievements/__Locators.json,locator,button,Ranking,button.Ranking,"[data-test=""main-nav-ranking""]",Resource/Modules/achievements/__Locators.json::button.Ranking
Resource/Modules/achievements/__Locators.json,locator,button,Logout Confirm,button.Logout Confirm,"[data-test=""main-logout-confirm""]",Resource/Modules/achievements/__Locators.json::button.Logout Confirm
Resource/Modules/achievements/__Locators.json,locator,button,Pronunciation,button.Pronunciation,"[data-test=""main-nav-pronunciation""]",Resource/Modules/achievements/__Locators.json::button.Pronunciation
Resource/Modules/achievements/__Locators.json,locator,button,Speak,button.Speak,"[data-test=""main-nav-speak""]",Resource/Modules/achievements/__Locators.json::button.Speak
Resource/Modules/achievements/__Locators.json,locator,button,Review,button.Review,"[data-test=""main-nav-review""]",Resource/Modules/achievements/__Locators.json::button.Review
Resource/Modules/achievements/__Locators.json,locator,button,Inbox,button.Inbox,"[data-test=""main-nav-inbox""]",Resource/Modules/achievements/__Locators.json::button.Inbox
Resource/Modules/achievements/__Locators.json,locator,button,Dark Mode Toggle,button.Dark Mode Toggle,"[data-test=""dark-mode-toggle-pulse""]",Resource/Modules/achievements/__Locators.json::button.Dark Mode Toggle
Resource/Modules/achievements/__Locators.json,locator,button,Light Mode Toggle,button.Light Mode Toggle,"[data-test=""light-mode-toggle-pulse""]",Resource/Modules/achievements/__Locators.json::button.Light Mode Toggle
Resource/Modules/achievements/__Locators.json,locator,button,Achievements,button.Achievements,"[data-test=""main-nav-achievements""]",Resource/Modules/achievements/__Locators.json::button.Achievements
Resource/Modules/achievements/__Locators.json,locator,button,Menu Toggle,button.Menu Toggle,"[data-test=""main-menu-toggle""]",Resource/Modules/achievements/__Locators.json::button.Menu Toggle
Resource/Modules/achievements/__Locators.json,locator,button,Profile,button.Profile,"[data-test=""main-menu-profile""]",Resource/Modules/achievements/__Locators.json::button.Profile
Resource/Modules/achievements/__Locators.json,locator,button,About,button.About,"[data-test=""main-menu-about""]",Resource/Modules/achievements/__Locators.json::button.About
Resource/Modules/achievements/__Locators.json,locator,button,New Quote,button.New Quote,"[data-test=""topbar-quote-refresh""]",Resource/Modules/achievements/__Locators.json::button.New Quote
Resource/Modules/achievements/__Locators.json,locator,button,Logout,button.Logout,"[data-test=""main-menu-logout""]",Resource/Modules/achievements/__Locators.json::button.Logout
Resource/Modules/achievements/__Locators.json,locator,button,Refresh Quote,button.Refresh Quote,"[data-test=""topbar-quote-refresh""]",Resource/Modules/achievements/__Locators.json::button.Refresh Quote
Resource/Modules/achievements/__Locators.json,locator,button,Learn,button.Learn,"[data-test=""rightbar-lesson-start""]",Resource/Modules/achievements/__Locators.json::button.Learn
Resource/Modules/achievements/__Locators.json,locator,button,Start Challenge,button.Start Challenge,"[data-test=""rightbar-challenge-start""]",Resource/Modules/achievements/__Locators.json::button.Start Challenge
Resource/Modules/achievements/__Locators.json,locator,link,Quote Text,link.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/achievements/__Locators.json::link.Quote Text
Resource/Modules/achievements/__Locators.json,locator,tab,Home,tab.Home,"[data-test=""main-nav-home""]",Resource/Modules/achievements/__Locators.json::tab.Home
Resource/Modules/achievements/__Locators.json,locator,tab,Challenge,tab.Challenge,"[data-test=""main-nav-challenge""]",Resource/Modules/achievements/__Locators.json::tab.Challenge
Resource/Modules/achievements/__Locators.json,locator,tab,Ranking,tab.Ranking,"[data-test=""main-nav-ranking""]",Resource/Modules/achievements/__Locators.json::tab.Ranking
Resource/Modules/achievements/__Locators.json,locator,tab,Pronunciation,tab.Pronunciation,"[data-test=""main-nav-pronunciation""]",Resource/Modules/achievements/__Locators.json::tab.Pronunciation
Resource/Modules/achievements/__Locators.json,locator,tab,Speak,tab.Speak,"[data-test=""main-nav-speak""]",Resource/Modules/achievements/__Locators.json::tab.Speak
Resource/Modules/achievements/__Locators.json,locator,tab,Review,tab.Review,"[data-test=""main-nav-review""]",Resource/Modules/achievements/__Locators.json::tab.Review
Resource/Modules/achievements/__Locators.json,locator,tab,Inbox,tab.Inbox,"[data-test=""main-nav-inbox""]",Resource/Modules/achievements/__Locators.json::tab.Inbox
Resource/Modules/achievements/__Locators.json,locator,tab,Achievements,tab.Achievements,"[data-test=""main-nav-achievements""]",Resource/Modules/achievements/__Locators.json::tab.Achievements
Resource/Modules/achievements/__Locators.json,locator,messagebox,Quote Text,messagebox.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/achievements/__Locators.json::messagebox.Quote Text
Resource/Modules/achievements/__Locators.json,locator,messagebox,Logout Message,messagebox.Logout Message,"[data-test=""main-logout-modal-message""]",Resource/Modules/achievements/__Locators.json::messagebox.Logout Message
Resource/Modules/achievements/__Locators.json,locator,list,Quote Text,list.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/achievements/__Locators.json::list.Quote Text
Resource/Modules/achievements/__Locators.json,locator,section,Your Badges,section.Your Badges,"[data-test=""achievements-section""]",Resource/Modules/achievements/__Locators.json::section.Your Badges
Resource/Modules/achievements/__Locators.json,locator,notification,Quote Text,notification.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/achievements/__Locators.json::notification.Quote Text
Resource/Modules/challenge/__Locators.json,page_alias,page,Challenge,page[0],Challenge,Resource/Modules/challenge/__Locators.json::page[0]
Resource/Modules/challenge/__Locators.json,page_alias,page,Challenge Page,page[1],Challenge Page,Resource/Modules/challenge/__Locators.json::page[1]
Resource/Modules/challenge/__Locators.json,root,root,root,root,"[data-test=""page-challenge""]",Resource/Modules/challenge/__Locators.json::root
Resource/Modules/challenge/__Locators.json,locator,button,Home,button.Home,"[data-test=""main-nav-home""]",Resource/Modules/challenge/__Locators.json::button.Home
Resource/Modules/challenge/__Locators.json,locator,button,Challenge,button.Challenge,"[data-test=""main-nav-challenge""]",Resource/Modules/challenge/__Locators.json::button.Challenge
Resource/Modules/challenge/__Locators.json,locator,button,Ranking,button.Ranking,"[data-test=""main-nav-ranking""]",Resource/Modules/challenge/__Locators.json::button.Ranking
Resource/Modules/challenge/__Locators.json,locator,button,Pronunciation,button.Pronunciation,"[data-test=""main-nav-pronunciation""]",Resource/Modules/challenge/__Locators.json::button.Pronunciation
Resource/Modules/challenge/__Locators.json,locator,button,Speak,button.Speak,"[data-test=""main-nav-speak""]",Resource/Modules/challenge/__Locators.json::button.Speak
Resource/Modules/challenge/__Locators.json,locator,button,Review,button.Review,"[data-test=""main-nav-review""]",Resource/Modules/challenge/__Locators.json::button.Review
Resource/Modules/challenge/__Locators.json,locator,button,Inbox,button.Inbox,"[data-test=""main-nav-inbox""]",Resource/Modules/challenge/__Locators.json::button.Inbox
Resource/Modules/challenge/__Locators.json,locator,button,Achievements,button.Achievements,"[data-test=""main-nav-achievements""]",Resource/Modules/challenge/__Locators.json::button.Achievements
Resource/Modules/challenge/__Locators.json,locator,button,Menu Toggle,button.Menu Toggle,"[data-test=""main-menu-toggle""]",Resource/Modules/challenge/__Locators.json::button.Menu Toggle
Resource/Modules/challenge/__Locators.json,locator,button,Logout Confirm,button.Logout Confirm,"[data-test=""main-logout-confirm""]",Resource/Modules/challenge/__Locators.json::button.Logout Confirm
Resource/Modules/challenge/__Locators.json,locator,button,Profile,button.Profile,"[data-test=""main-menu-profile""]",Resource/Modules/challenge/__Locators.json::button.Profile
Resource/Modules/challenge/__Locators.json,locator,button,Dark Mode Toggle,button.Dark Mode Toggle,"[data-test=""dark-mode-toggle-pulse""]",Resource/Modules/challenge/__Locators.json::button.Dark Mode Toggle
Resource/Modules/challenge/__Locators.json,locator,button,Light Mode Toggle,button.Light Mode Toggle,"[data-test=""light-mode-toggle-pulse""]",Resource/Modules/challenge/__Locators.json::button.Light Mode Toggle
Resource/Modules/challenge/__Locators.json,locator,button,About,button.About,"[data-test=""main-menu-about""]",Resource/Modules/challenge/__Locators.json::button.About
Resource/Modules/challenge/__Locators.json,locator,button,Logout,button.Logout,"[data-test=""main-menu-logout""]",Resource/Modules/challenge/__Locators.json::button.Logout
Resource/Modules/challenge/__Locators.json,locator,button,All,button.All,"[data-test=""challenge-category-all""]",Resource/Modules/challenge/__Locators.json::button.All
Resource/Modules/challenge/__Locators.json,locator,button,Grammar,button.Grammar,"[data-test=""challenge-category-grammar""]",Resource/Modules/challenge/__Locators.json::button.Grammar
Resource/Modules/challenge/__Locators.json,locator,button,Vocabulary,button.Vocabulary,"[data-test=""challenge-category-vocabulary""]",Resource/Modules/challenge/__Locators.json::button.Vocabulary
Resource/Modules/challenge/__Locators.json,locator,button,Listening,button.Listening,"[data-test=""challenge-category-listening""]",Resource/Modules/challenge/__Locators.json::button.Listening
Resource/Modules/challenge/__Locators.json,locator,button,Numbers,button.Numbers,"[data-test=""challenge-category-numbers""]",Resource/Modules/challenge/__Locators.json::button.Numbers
Resource/Modules/challenge/__Locators.json,locator,button,Speaking,button.Speaking,"[data-test=""challenge-category-speaking""]",Resource/Modules/challenge/__Locators.json::button.Speaking
Resource/Modules/challenge/__Locators.json,locator,button,Refresh Quote,button.Refresh Quote,"[data-test=""topbar-quote-refresh""]",Resource/Modules/challenge/__Locators.json::button.Refresh Quote
Resource/Modules/challenge/__Locators.json,locator,button,New Quote,button.New Quote,"[data-test=""topbar-quote-refresh""]",Resource/Modules/challenge/__Locators.json::button.New Quote
Resource/Modules/challenge/__Locators.json,locator,button,Learn,button.Learn,"[data-test=""rightbar-lesson-start""]",Resource/Modules/challenge/__Locators.json::button.Learn
Resource/Modules/challenge/__Locators.json,locator,button,Start Challenge,button.Start Challenge,"[data-test=""rightbar-challenge-start""]",Resource/Modules/challenge/__Locators.json::button.Start Challenge
Resource/Modules/challenge/__Locators.json,locator,link,Quote Text,link.Quote Text,"[data-test=""topbar-quote-text""]",Resource/Modules/challenge/__Locators.json::link.Quote Text
Resource/Modules/challenge/__Locators.json,locator,tab,Home,tab.Home,"[data-test=""main-nav-home""]",Resource/Modules/challenge/__Locators.json::tab.Home
Resource/Modules/challenge/__Locators.json,locator,tab,Challenge,tab.Challenge,"[data-test=""main-nav-challenge""]",Resource/Modules/challenge/__Locators.json::tab.Challenge
Resource/Modules/challenge/__Locators.json,locator,tab,Ranking,tab.Ranking,"[data-test=""main-nav-ranking""]",Resource/Modules/challenge/__Locators.json::tab.Ranking
Resource/Modules/challenge/__Locators.json,locator,tab,Pronunciation,tab.Pronunciation,"[data-test=""main-nav-pronunciation""]",Resource/Modules/challenge/__Locators.json::tab.Pronunciation
Resource/Modules/challenge/__Locators.json,locator,tab,Speak,tab.Speak,"[data-test=""main-nav-speak""]",Resource/Modules/challenge/__Locators.json::tab.Speak
