RESOURCE_FILE,KEYWORD_NAME,LINE_NUMBER,LOCATION
Resource/Common/button.resource,Click Button,8,Resource/Common/button.resource:8
Resource/Common/button.resource,Click Button At Index,13,Resource/Common/button.resource:13
Resource/Common/button.resource,Button Should Be Visible,18,Resource/Common/button.resource:18
Resource/Common/checkbox.resource,Set Checkbox To State,8,Resource/Common/checkbox.resource:8
Resource/Common/checkbox.resource,Checkbox Should Be Visible,35,Resource/Common/checkbox.resource:35
Resource/Common/checkbox.resource,Click Checkbox,40,Resource/Common/checkbox.resource:40
Resource/Common/checkbox.resource,Verify If The Checkbox Status Is State,45,Resource/Common/checkbox.resource:45
Resource/Common/checkbox.resource,Checkbox State Should Be,70,Resource/Common/checkbox.resource:70
Resource/Common/common.resource,Resolve Page Route,32,Resource/Common/common.resource:32
Resource/Common/common.resource,Open Browser Session,42,Resource/Common/common.resource:42
Resource/Common/common.resource,Close Browser Session,55,Resource/Common/common.resource:55
Resource/Common/common.resource,Go To Relative Path,60,Resource/Common/common.resource:60
Resource/Common/common.resource,Navigate To Page,67,Resource/Common/common.resource:67
Resource/Common/common.resource,Validate Current Page Root,75,Resource/Common/common.resource:75
Resource/Common/common.resource,Validate Page Is Opened,81,Resource/Common/common.resource:81
Resource/Common/common.resource,Wait For Category Element State,88,Resource/Common/common.resource:88
Resource/Common/common.resource,Category Element Should Be Visible,100,Resource/Common/common.resource:100
Resource/Common/common.resource,Category Element Should Not Be Visible,106,Resource/Common/common.resource:106
Resource/Common/common.resource,Click Category Element,112,Resource/Common/common.resource:112
Resource/Common/common.resource,Click Category Element At Index,120,Resource/Common/common.resource:120
Resource/Common/common.resource,Fill Category Element,141,Resource/Common/common.resource:141
Resource/Common/common.resource,Get Category Element Count,149,Resource/Common/common.resource:149
Resource/Common/common.resource,Get Category Element Text,157,Resource/Common/common.resource:157
Resource/Common/common.resource,Category Element Text Should Contain,166,Resource/Common/common.resource:166
Resource/Common/common.resource,Validate Category Elements If Present,173,Resource/Common/common.resource:173
Resource/Common/common.resource,Validate Current Page Categories,184,Resource/Common/common.resource:184
Resource/Common/common.resource,Scroll Into Element,199,Resource/Common/common.resource:199
Resource/Common/common.resource,Wait for Second,206,Resource/Common/common.resource:206
Resource/Common/link.resource,Click Link,8,Resource/Common/link.resource:8
Resource/Common/link.resource,Link Should Be Visible,13,Resource/Common/link.resource:13
Resource/Common/link.resource,Link Should Contain Text,18,Resource/Common/link.resource:18
Resource/Common/list.resource,Click List Item At Index,8,Resource/Common/list.resource:8
Resource/Common/list.resource,List Should Be Visible,13,Resource/Common/list.resource:13
Resource/Common/list.resource,List Item Count Should Be At Least Items,18,Resource/Common/list.resource:18
Resource/Common/locators.resource,Normalize Page Name,16,Resource/Common/locators.resource:16
Resource/Common/locators.resource,Clear Locators,25,Resource/Common/locators.resource:25
Resource/Common/locators.resource,Ensure Locator Map Is Loaded,33,Resource/Common/locators.resource:33
Resource/Common/locators.resource,Get Locator File For Page,39,Resource/Common/locators.resource:39
Resource/Common/locators.resource,Load Locators,67,Resource/Common/locators.resource:67
Resource/Common/locators.resource,Get Locator,79,Resource/Common/locators.resource:79
Resource/Common/locators.resource,Locator Exists,92,Resource/Common/locators.resource:92
Resource/Common/locators.resource,Get Locator In Category,103,Resource/Common/locators.resource:103
Resource/Common/locators.resource,Get Locator Names In Category,112,Resource/Common/locators.resource:112
Resource/Common/locators.resource,Get Locator Categories,137,Resource/Common/locators.resource:137
Resource/Common/locators.resource,Get Current Page,150,Resource/Common/locators.resource:150
Resource/Common/locators.resource,Get Locator File,155,Resource/Common/locators.resource:155
Resource/Common/messagebox.resource,Messagebox Should Be Visible,8,Resource/Common/messagebox.resource:8
Resource/Common/messagebox.resource,Messagebox Should Not Be Visible,13,Resource/Common/messagebox.resource:13
Resource/Common/messagebox.resource,Messagebox Should Contain Text,19,Resource/Common/messagebox.resource:19
Resource/Common/notification.resource,Notification Should Be Visible,8,Resource/Common/notification.resource:8
Resource/Common/notification.resource,Notification Should Not Be Visible,13,Resource/Common/notification.resource:13
Resource/Common/notification.resource,Notification Should Contain Text,19,Resource/Common/notification.resource:19
Resource/Common/page.resource,Page Should Be Ready,8,Resource/Common/page.resource:8
Resource/Common/page.resource,Go To Page,13,Resource/Common/page.resource:13
Resource/Common/page.resource,Normalize Theme Mode,19,Resource/Common/page.resource:19
Resource/Common/page.resource,Get Current Page Theme,29,Resource/Common/page.resource:29
Resource/Common/page.resource,Try Click Theme Toggle,37,Resource/Common/page.resource:37
Resource/Common/page.resource,Set Page Theme To Desired Choice,58,Resource/Common/page.resource:58
Resource/Common/page.resource,Page Theme Should Be Desired Mode,86,Resource/Common/page.resource:86
Resource/Common/section.resource,Section Should Be Visible,8,Resource/Common/section.resource:8
Resource/Common/section.resource,Section Should Contain Text,13,Resource/Common/section.resource:13
Resource/Common/section.resource,Scroll To Section,19,Resource/Common/section.resource:19
Resource/Common/section.resource,The section should be updated with a new value,24,Resource/Common/section.resource:24
Resource/Common/section.resource,Section Value Should Change After Clicking Button,32,Resource/Common/section.resource:32
Resource/Common/section.resource,The section should be updated after clicking the button,39,Resource/Common/section.resource:39
Resource/Common/section.resource,Section Item Count Should Be At Least Items,44,Resource/Common/section.resource:44
Resource/Common/section.resource,Section Item Count,52,Resource/Common/section.resource:52
Resource/Common/section.resource,Resolve Section Item Selector,61,Resource/Common/section.resource:61
