RESOURCE_FILE,KEYWORD_COUNT
Resource/Common/button.resource,3
Resource/Common/checkbox.resource,5
Resource/Common/common.resource,20
Resource/Common/link.resource,3
Resource/Common/list.resource,3
Resource/Common/locators.resource,12
Resource/Common/messagebox.resource,3
Resource/Common/notification.resource,3
Resource/Common/page.resource,7
Resource/Common/section.resource,11
Resource/Common/tab.resource,2
Resource/Common/text.resource,2
Resource/Common/textbox.resource,7
Resource/Modules/challenge/Challenge.resource,2
Resource/Modules/learn/Learn.resource,5
Resource/Modules/login/Signin.resource,6
Resource/Modules/mainpage/mainpage.resource,14
Resource/Modules/profile/Profile.resource,3
Resource/Modules/pronunciation/Pronunciation.resource,4
Resource/Modules/ranking/Ranking.resource,1
Resource/Modules/register/Signup.resource,6
Resource/Modules/welcomepage/Welcomepage.resource,1
